Price (Dollar),discount_percentage,price_before_discount,rating_out_of_5,number_of_ratings,brand,Storage (GB),screen_size (Inches),Price_Category
79.99,0.0,79.99,3.6,361.0,13,8.0,1.4,0
269.99,40.0,449.99,4.4,359.0,138,128.0,6.4,1
299.9,0.0,299.9,3.7,358.0,138,256.0,6.8,1
39.99,0.0,39.99,3.5,358.0,9,16.0,5.5,0
86.95,0.0,86.95,3.6,357.0,102,32.0,6.2,0
62.54,21.78,79.95,4.0,355.0,138,2.0,5.7,0
105.0,0.0,105.0,4.1,354.0,138,32.0,6.4,0
229.5,0.0,229.5,4.4,351.0,108,12.0,6.5,1
499.0,0.0,499.0,4.3,350.0,73,128.0,6.1,2
39.99,0.0,39.99,3.3,350.0,9,16.0,5.5,0
402.99,0.0,402.99,4.1,349.0,138,128.0,6.1,2
328.7,0.0,328.7,4.5,348.0,188,512.0,6.67,1
182.07,49.42,359.99,4.4,347.0,138,8.0,6.4,0
274.09,48.28,529.97,4.3,345.0,138,512.0,6.4,1
70.0,0.0,70.0,4.0,345.0,108,16.0,5.5,0
704.95,0.0,704.95,4.6,342.0,15,128.0,6.7,2
101.38,6.91,108.9,4.1,342.0,138,128.0,6.6,0
98.99,16.11,118.0,4.2,339.0,108,64.0,6.6,0
109.99,0.0,109.99,4.1,335.0,23,32.0,6.5,0
455.99,0.0,455.99,4.0,334.0,38,20.0,6.43,2
268.1,32.97,399.98,4.4,333.0,138,256.0,6.8,1
199.99,9.09,219.99,4.3,333.0,118,256.0,6.52,0
675.0,0.0,675.0,3.8,331.0,138,512.0,7.6,2
399.95,0.0,399.95,3.6,327.0,138,128.0,6.8,1
87.99,0.0,87.99,4.2,326.0,188,64.0,6.71,0
99.97,0.0,99.97,4.4,324.0,188,1000.0,6.53,0
256.5,6.39,274.0,4.0,323.0,138,256.0,6.7,1
79.99,0.0,79.99,2.7,322.0,180,8.0,6.3,0
624.98,21.88,800.0,4.1,321.0,15,128.0,6.7,2
621.74,0.0,621.74,4.2,321.0,15,128.0,6.7,2
139.45,0.0,139.45,4.0,320.0,119,128.0,6.5,0
59.98,0.0,59.98,3.3,319.0,199,32.0,2.4,0
439.99,0.0,439.99,4.3,315.0,138,128.0,6.1,2
147.44,0.0,147.44,4.1,313.0,108,6.0,6.8,0
229.0,58.36,549.99,3.9,312.0,138,128.0,6.7,1
66.99,0.0,66.99,3.8,311.0,138,16.0,5.7,0
